plantbarcode,roi,gtype
A1,1,kea
A1,0,nhd1
A2,1,nhd1
A2,0,glk
A3,1,npq4
A3,0,nhd1
A4,1,nhd1
A4,0,npq2
A5,1,kea
A5,0,npq2
A6,1,npq2
A6,0,WT
A7,1,WT
A7,0,npq4
B1,1,nhd1
B1,0,kea
B2,1,glk
B2,0,nhd1
B3,1,nhd1
B3,0,npq4
B4,1,kea
B4,0,nhd1
B5,1,npq2
B5,0,kea
B6,1,WT
B6,0,npq2
B7,1,npq4
B7,0,WT
C1,1,kea
C1,0,npq4
C2,1,npq4
C2,0,glk
C3,1,npq4
C3,0,npq2
C4,1,npq2
C4,0,glk
C5,1,nhd1
C5,0,npq2
C6,1,nhd1
C6,0,WT
C7,1,WT
C7,0,kea
D1,1,npq4
D1,0,kea
D2,1,glk
D2,0,npq4
D3,1,npq2
D3,0,npq4
D4,1,glk
D4,0,npq2
D5,1,npq2
D5,0,kea
D6,1,WT
D6,0,nhd1
D7,1,kea
D7,0,WT
E1,1,kea
E1,0,glk
E2,1,kea
E2,0,glk
E3,1,npq4
E3,0,glk
E4,1,nhd1
E4,0,npq4
E5,1,nhd1
E5,0,WT
E6,1,npq2
E6,0,WT
E7,1,WT
E7,0,glk
F1,1,glk
F1,0,kea
F2,1,glk
F2,0,kea
F3,1,npq2
F3,0,npq4
F4,1,npq2
F4,0,nhd1
F5,1,WT
F5,0,glk
F6,1,WT
F6,0,npq4
F7,1,glk
F7,0,WT
