"snapshot_timestamp","weight_before","weight_after","water_amount_g","job","id_tag","snapshot_id","measurement_label"
"2019-07-12 09:49:07-07","177.7","197.633","20","watering","A1","3968500","GoldStandard2_water"
"2019-07-12 10:05:38-07","220","239.599","20","watering","A2","3968600","GoldStandard2_water"
"2019-07-12 10:22:50-07","214.6","234.499","20","watering","A3","3968700","GoldStandard2_water"
"2019-07-12 10:17:09-07","214.967","235.067","20","watering","A4","3968800","GoldStandard2_water"
"2019-07-12 09:45:16-07","186.3","205.8","20","watering","A5","3968900","GoldStandard2_water"
"2019-07-12 09:50:05-07","183.867","203.733","20","watering","A6","3969000","GoldStandard2_water"
"2019-07-12 10:07:31-07","217.967","237.6","20","watering","A7","3969100","GoldStandard2_water"
"2019-07-12 10:21:55-07","182","201.701","20","watering","B1","3969200","GoldStandard2_water"
"2019-07-12 10:15:07-07","206.7","226.833","20","watering","B2","3969300","GoldStandard2_water"
"2019-07-12 10:03:44-07","197.767","217.669","20","watering","B3","3969400","GoldStandard2_water"
"2019-07-12 09:52:58-07","184.767","204.165","20","watering","B4","3969500","GoldStandard2_water"
"2019-07-12 09:44:16-07","192.1","212.299","20","watering","B5","3969600","GoldStandard2_water"
"2019-07-12 09:56:50-07","184.4","204.401","20","watering","B6","3969700","GoldStandard2_water"
"2019-07-12 09:54:53-07","180.5","200.366","20","watering","B7","3969800","GoldStandard2_water"
"2019-07-12 10:01:48-07","187.8","207.3","20","watering","C1","3969900","GoldStandard2_water"
"2019-07-12 09:52:01-07","186.9","206.4","20","watering","C2","3970000","GoldStandard2_water"
"2019-07-12 10:00:49-07","202","221.766","20","watering","C3","3970100","GoldStandard2_water"
"2019-07-12 10:08:25-07","186.267","206.833","20","watering","C4","3970200","GoldStandard2_water"
"2019-07-12 09:58:53-07","197.3","216.8","20","watering","C5","3970300","GoldStandard2_water"
"2019-07-12 10:23:45-07","182.6","202.502","20","watering","C6","3970400","GoldStandard2_water"
"2019-07-12 10:18:03-07","183.3","202.899","20","watering","C7","3970500","GoldStandard2_water"
"2019-07-12 10:20:58-07","205.8","225.399","20","watering","D1","3970600","GoldStandard2_water"
"2019-07-12 10:12:12-07","211.867","231.466","20","watering","D2","3970700","GoldStandard2_water"
"2019-07-12 10:10:18-07","180.2","199.433","20","watering","D3","3970800","GoldStandard2_water"
"2019-07-12 10:14:10-07","204.833","224.333","20","watering","D4","3970900","GoldStandard2_water"
"2019-07-12 10:19:57-07","199.5","219","20","watering","D5","3971000","GoldStandard2_water"
"2019-07-12 09:55:52-07","176.4","195.6","20","watering","D6","3971100","GoldStandard2_water"
"2019-07-12 09:59:52-07","174.267","193.869","20","watering","D7","3971200","GoldStandard2_water"
"2019-07-12 10:06:32-07","206.5","226.099","20","watering","E1","3971300","GoldStandard2_water"
